f;a;c;limit 1+;limit 1-;limit 2+;limit 2-
10;-70.4;-14.3;3;inf;5;inf
12.5;-63.4;-11.2;2.5;inf;5;inf
16;-56.7;-8.5;2;4;5;inf
20;-50.5;-6.2;2;2;3;3
25;-44.7;-4.4;2;1.5;3;3
31.5;-39.4;-3;1.5;1.5;3;3
40;-34.6;-2;1;1;2;2
50;-30.2;-1.3;1;1;2;2
63;-26.2;-0.8;1;1;2;2
80;-22.5;-0.5;1;1;2;2
100;-19.1;-0.3;1;1;1.5;1.5
125;-16.1;-0.2;1;1;1.5;1.5
160;-13.4;-0.1;1;1;1.5;1.5
200;-10.9;0;1;1;1.5;1.5
250;-8.6;0;1;1;1.5;1.5
315;-6.6;0;1;1;1.5;1.5
400;-4.8;0;1;1;1.5;1.5
500;-3.2;0;1;1;1.5;1.5
630;-1.9;0;1;1;1.5;1.5
800;-0.8;0;1;1;1.5;1.5
1000;0;0;0.7;0.7;1;1
1250;0.6;0;1;1;1.5;1.5
1600;1;-0.1;1;1;2;2
2000;1.2;-0.2;1;1;2;2
2500;1.3;-0.3;1;1;2.5;2.5
3150;1.2;-0.5;1;1;2.5;2.5
4000;1;-0.8;1;1;3;3
5000;0.5;-1.3;1.5;1.5;3.5;3.5
6300;-0.1;-2;1.5;2;4.5;4.5
8000;-1.1;-3;1.5;2.5;5;5
10000;-2.5;-4.4;2;3;5;inf
12500;-4.3;-6.2;2;5;5;inf
16000;-6.6;-8.5;2.5;16;5;inf
20000;-9.3;-11.2;3;inf;5;inf
